trip_id;driver_id;passenger_id;payment_id;source_adress;destenation_adress;price;score
74314;5374;8064;209;864 Palm Drive, San Jose, CA 95101;Table Mountain Rd, Cape Town, South Africa 8001;4870;5
94189;305;9052;815;222 Park Avenue, Boston, MA 02101;Forbidden City 4, Beijing, China 100006;1521;5
23853;4735;1813;765;Shibuya Crossing 2, Tokyo, Japan 150-0043;753 Willow Avenue, San Diego, CA 92101;4557;4
18363;6455;2176;511;Taj Mahal, Agra, India 282001;864 Palm Drive, San Jose, CA 95101;4826;4
77229;3818;9613;503;555 Mountain Street, Washington, DC 20001;333 River Road, Seattle, WA 98101;4720;2
83133;83;9304;450;333 River Road, Seattle, WA 98101;159 Birch Street, San Antonio, TX 78201;2336;3
33026;4838;8135;852;CN Tower 301, Toronto, Canada M5V 2T6;Red Square 1, Moscow, Russia 109012;3570;4
40352;1666;8579;45;333 River Road, Seattle, WA 98101;Red Square 1, Moscow, Russia 109012;2035;4
45174;9391;8299;84;246 Spruce Road, Dallas, TX 75201;Shibuya Crossing 2, Tokyo, Japan 150-0043;1125;3
71767;5673;4076;475;456 Oak Avenue, Los Angeles, CA 90001;864 Palm Drive, San Jose, CA 95101;4773;5
89663;8814;3893;875;789 Pine Road, Chicago, IL 60601;456 Oak Avenue, Los Angeles, CA 90001;1399;5
2767;7893;5153;149;555 Mountain Street, Washington, DC 20001;753 Willow Avenue, San Diego, CA 92101;3056;4
85586;3309;1638;940;Champs-Élysées 75, Paris, France 75008;987 Cedar Lane, Philadelphia, PA 19101;4280;2
54572;3132;3251;440;456 Oak Avenue, Los Angeles, CA 90001;Red Square 1, Moscow, Russia 109012;2939;3
62036;5419;4048;547;555 Mountain Street, Washington, DC 20001;666 Ocean Avenue, Miami, FL 33101;4012;5
15597;7677;8101;583;Piazza San Marco 1, Venice, Italy 30124;159 Birch Street, San Antonio, TX 78201;1105;3
56769;6752;5327;992;Sydney Opera House, Sydney, Australia 2000;222 Park Avenue, Boston, MA 02101;3226;4
38046;7792;3548;392;Sydney Opera House, Sydney, Australia 2000;789 Pine Road, Chicago, IL 60601;4346;4
59507;4032;542;63;Copacabana Beach 100, Rio de Janeiro, Brazil 22070-011;Piazza San Marco 1, Venice, Italy 30124;2991;4
67320;8515;3980;697;Taj Mahal, Agra, India 282001;Taj Mahal, Agra, India 282001;2389;4
6751;6792;8695;87;321 Elm Boulevard, Houston, TX 77001;Table Mountain Rd, Cape Town, South Africa 8001;4106;4
8085;5063;204;21;123 Main Street, New York, NY 10001;456 Oak Avenue, Los Angeles, CA 90001;2643;4
63944;5258;3851;580;789 Pine Road, Chicago, IL 60601;Red Square 1, Moscow, Russia 109012;4199;5
41437;7047;6517;328;CN Tower 301, Toronto, Canada M5V 2T6;246 Spruce Road, Dallas, TX 75201;1348;2
75420;8390;6007;918;Red Square 1, Moscow, Russia 109012;222 Park Avenue, Boston, MA 02101;4452;4
70781;8097;3923;115;Shibuya Crossing 2, Tokyo, Japan 150-0043;Brandenburger Tor 1, Berlin, Germany 10117;3505;3
84718;9475;8512;468;Gyeongbokgung Palace 161, Seoul, South Korea 03045;Forbidden City 4, Beijing, China 100006;4255;3
5096;9625;5554;972;Red Square 1, Moscow, Russia 109012;Champs-Élysées 75, Paris, France 75008;3655;5
49439;8341;8393;940;Table Mountain Rd, Cape Town, South Africa 8001;Taj Mahal, Agra, India 282001;4660;3
23660;5119;8678;495;159 Birch Street, San Antonio, TX 78201;555 Mountain Street, Washington, DC 20001;2978;5
95938;1781;9751;109;Champs-Élysées 75, Paris, France 75008;Burj Khalifa 1, Dubai, UAE;2450;5
62426;2784;9835;898;Table Mountain Rd, Cape Town, South Africa 8001;159 Birch Street, San Antonio, TX 78201;3678;5
76548;7150;7654;329;246 Spruce Road, Dallas, TX 75201;Taj Mahal, Agra, India 282001;1907;3
13232;9776;7362;716;Brandenburger Tor 1, Berlin, Germany 10117;Marina Bay Sands 10, Singapore 018956;2782;2
49455;8630;5118;505;444 Lake View, Denver, CO 80201;Burj Khalifa 1, Dubai, UAE;1725;5
31890;8983;1443;193;753 Willow Avenue, San Diego, CA 92101;555 Mountain Street, Washington, DC 20001;1874;4
82675;8193;6899;883;654 Maple Drive, Phoenix, AZ 85001;Gyeongbokgung Palace 161, Seoul, South Korea 03045;4543;3
38539;4509;4506;78;753 Willow Avenue, San Diego, CA 92101;Gyeongbokgung Palace 161, Seoul, South Korea 03045;3791;4
19769;6817;3924;309;246 Spruce Road, Dallas, TX 75201;Marina Bay Sands 10, Singapore 018956;1542;3
72144;3536;4031;233;Brandenburger Tor 1, Berlin, Germany 10117;Marina Bay Sands 10, Singapore 018956;3837;5
82416;6848;6273;257;Burj Khalifa 1, Dubai, UAE;789 Pine Road, Chicago, IL 60601;4170;5
63281;6896;317;187;444 Lake View, Denver, CO 80201;Sydney Opera House, Sydney, Australia 2000;1896;2
12184;9266;1468;922;222 Park Avenue, Boston, MA 02101;Copacabana Beach 100, Rio de Janeiro, Brazil 22070-011;4340;3
35783;5155;3098;204;Taj Mahal, Agra, India 282001;Sagrada Família 401, Barcelona, Spain 08013;2816;3
27980;3374;7597;804;666 Ocean Avenue, Miami, FL 33101;Taj Mahal, Agra, India 282001;2925;4
72842;143;9033;512;864 Palm Drive, San Jose, CA 95101;Brandenburger Tor 1, Berlin, Germany 10117;3015;2
55140;8513;2955;28;333 River Road, Seattle, WA 98101;Champs-Élysées 75, Paris, France 75008;2244;2
85159;6572;7261;111;Champs-Élysées 75, Paris, France 75008;444 Lake View, Denver, CO 80201;4836;2
10775;2162;2446;541;Red Square 1, Moscow, Russia 109012;Marina Bay Sands 10, Singapore 018956;2919;2
84725;2681;7135;228;Burj Khalifa 1, Dubai, UAE;789 Pine Road, Chicago, IL 60601;1695;4
41816;5631;6907;936;Red Square 1, Moscow, Russia 109012;321 Elm Boulevard, Houston, TX 77001;1833;3
79007;3115;3520;294;444 Lake View, Denver, CO 80201;159 Birch Street, San Antonio, TX 78201;2537;4
17596;7922;9421;999;123 Main Street, New York, NY 10001;864 Palm Drive, San Jose, CA 95101;4295;2
26283;5508;3621;883;123 Main Street, New York, NY 10001;CN Tower 301, Toronto, Canada M5V 2T6;1347;2
29196;278;3930;160;Marina Bay Sands 10, Singapore 018956;Burj Khalifa 1, Dubai, UAE;2752;3
60153;2018;338;517;666 Ocean Avenue, Miami, FL 33101;Taj Mahal, Agra, India 282001;2335;4
94513;5673;2176;103;654 Maple Drive, Phoenix, AZ 85001;Red Square 1, Moscow, Russia 109012;1277;5
85540;4712;9386;941;333 River Road, Seattle, WA 98101;555 Mountain Street, Washington, DC 20001;4729;4
29446;7287;4748;429;789 Pine Road, Chicago, IL 60601;654 Maple Drive, Phoenix, AZ 85001;2621;2
14567;9725;8734;939;Sydney Opera House, Sydney, Australia 2000;Piazza San Marco 1, Venice, Italy 30124;4557;4
81205;1561;8853;103;123 Main Street, New York, NY 10001;CN Tower 301, Toronto, Canada M5V 2T6;1207;2
12005;1030;4183;285;654 Maple Drive, Phoenix, AZ 85001;789 Pine Road, Chicago, IL 60601;1870;3
62908;8537;1770;859;222 Park Avenue, Boston, MA 02101;Copacabana Beach 100, Rio de Janeiro, Brazil 22070-011;2694;5
9747;1300;3222;308;246 Spruce Road, Dallas, TX 75201;Taj Mahal, Agra, India 282001;1895;2
21462;3125;3750;503;Piazza San Marco 1, Venice, Italy 30124;456 Oak Avenue, Los Angeles, CA 90001;2367;3
49052;9275;4949;459;Sagrada Família 401, Barcelona, Spain 08013;Burj Khalifa 1, Dubai, UAE;2609;2
77333;1392;5973;843;Sydney Opera House, Sydney, Australia 2000;159 Birch Street, San Antonio, TX 78201;1543;4
61056;1535;1389;748;864 Palm Drive, San Jose, CA 95101;333 River Road, Seattle, WA 98101;4574;5
47037;7601;5449;772;Sydney Opera House, Sydney, Australia 2000;Champs-Élysées 75, Paris, France 75008;4054;4
73482;985;7551;439;CN Tower 301, Toronto, Canada M5V 2T6;333 River Road, Seattle, WA 98101;1902;3
93678;3155;9344;175;Champs-Élysées 75, Paris, France 75008;Red Square 1, Moscow, Russia 109012;4007;3
27588;6389;5515;427;Piazza San Marco 1, Venice, Italy 30124;753 Willow Avenue, San Diego, CA 92101;4058;3
99463;9521;4941;628;456 Oak Avenue, Los Angeles, CA 90001;159 Birch Street, San Antonio, TX 78201;1058;4
67478;4235;3019;341;Shibuya Crossing 2, Tokyo, Japan 150-0043;Burj Khalifa 1, Dubai, UAE;4768;3
75177;8011;7369;110;456 Oak Avenue, Los Angeles, CA 90001;987 Cedar Lane, Philadelphia, PA 19101;1393;5
92718;546;587;672;Brandenburger Tor 1, Berlin, Germany 10117;666 Ocean Avenue, Miami, FL 33101;1301;4
30017;1346;3881;745;CN Tower 301, Toronto, Canada M5V 2T6;222 Park Avenue, Boston, MA 02101;3484;5
46186;5520;9444;788;Shibuya Crossing 2, Tokyo, Japan 150-0043;222 Park Avenue, Boston, MA 02101;2125;3
29014;4379;8034;573;Shibuya Crossing 2, Tokyo, Japan 150-0043;159 Birch Street, San Antonio, TX 78201;3537;3
80902;7578;6032;624;Taj Mahal, Agra, India 282001;864 Palm Drive, San Jose, CA 95101;1333;4
51280;1883;7288;246;Table Mountain Rd, Cape Town, South Africa 8001;Copacabana Beach 100, Rio de Janeiro, Brazil 22070-011;1029;3
86673;1923;6183;14;555 Mountain Street, Washington, DC 20001;Taj Mahal, Agra, India 282001;4362;4
80580;955;4556;131;CN Tower 301, Toronto, Canada M5V 2T6;Gyeongbokgung Palace 161, Seoul, South Korea 03045;1988;2
36573;6492;1820;39;159 Birch Street, San Antonio, TX 78201;159 Birch Street, San Antonio, TX 78201;4932;5
80445;3149;8045;470;864 Palm Drive, San Jose, CA 95101;666 Ocean Avenue, Miami, FL 33101;4760;4
2564;7558;5230;214;Shibuya Crossing 2, Tokyo, Japan 150-0043;Marina Bay Sands 10, Singapore 018956;1657;3
28958;6412;8004;6;666 Ocean Avenue, Miami, FL 33101;Gyeongbokgung Palace 161, Seoul, South Korea 03045;1507;2
78318;9206;8072;530;Burj Khalifa 1, Dubai, UAE;456 Oak Avenue, Los Angeles, CA 90001;2180;4
83287;4315;8436;935;666 Ocean Avenue, Miami, FL 33101;Burj Khalifa 1, Dubai, UAE;3834;4
53581;2321;7444;514;753 Willow Avenue, San Diego, CA 92101;Gyeongbokgung Palace 161, Seoul, South Korea 03045;1900;2
15144;4478;4074;936;321 Elm Boulevard, Houston, TX 77001;789 Pine Road, Chicago, IL 60601;2578;4
13996;8037;4794;4;222 Park Avenue, Boston, MA 02101;Champs-Élysées 75, Paris, France 75008;1858;4
81644;531;9822;678;Forbidden City 4, Beijing, China 100006;Sagrada Família 401, Barcelona, Spain 08013;2339;3
78296;9123;3010;429;666 Ocean Avenue, Miami, FL 33101;Gyeongbokgung Palace 161, Seoul, South Korea 03045;4089;3
85000;4440;594;453;Marina Bay Sands 10, Singapore 018956;Forbidden City 4, Beijing, China 100006;4721;4
8972;2169;320;714;333 River Road, Seattle, WA 98101;Table Mountain Rd, Cape Town, South Africa 8001;4654;2
62526;3338;807;465;Shibuya Crossing 2, Tokyo, Japan 150-0043;CN Tower 301, Toronto, Canada M5V 2T6;3100;5
27423;3232;7995;332;864 Palm Drive, San Jose, CA 95101;Piazza San Marco 1, Venice, Italy 30124;3433;5
15834;4036;4819;723;321 Elm Boulevard, Houston, TX 77001;Copacabana Beach 100, Rio de Janeiro, Brazil 22070-011;4108;2
54605;1866;2889;780;Gyeongbokgung Palace 161, Seoul, South Korea 03045;Sydney Opera House, Sydney, Australia 2000;4884;2
6600;7353;9342;569;789 Pine Road, Chicago, IL 60601;Forbidden City 4, Beijing, China 100006;2658;3
18460;3267;1562;838;246 Spruce Road, Dallas, TX 75201;987 Cedar Lane, Philadelphia, PA 19101;1353;2
78316;1158;4145;891;666 Ocean Avenue, Miami, FL 33101;789 Pine Road, Chicago, IL 60601;1693;5
2278;7654;2034;641;Burj Khalifa 1, Dubai, UAE;159 Birch Street, San Antonio, TX 78201;4371;4
67070;8365;4429;123;654 Maple Drive, Phoenix, AZ 85001;Copacabana Beach 100, Rio de Janeiro, Brazil 22070-011;1436;3
67078;1292;5793;887;159 Birch Street, San Antonio, TX 78201;246 Spruce Road, Dallas, TX 75201;3705;3
32621;8482;2227;408;Brandenburger Tor 1, Berlin, Germany 10117;753 Willow Avenue, San Diego, CA 92101;1163;3
65581;8472;4213;829;789 Pine Road, Chicago, IL 60601;666 Ocean Avenue, Miami, FL 33101;3848;2
71277;2259;5468;978;666 Ocean Avenue, Miami, FL 33101;555 Mountain Street, Washington, DC 20001;3294;3
70659;2916;5353;348;Champs-Élysées 75, Paris, France 75008;Red Square 1, Moscow, Russia 109012;4746;5
15451;2478;530;29;Forbidden City 4, Beijing, China 100006;987 Cedar Lane, Philadelphia, PA 19101;4648;3
52688;8404;1377;4;222 Park Avenue, Boston, MA 02101;333 River Road, Seattle, WA 98101;2557;5
2804;2537;4671;631;789 Pine Road, Chicago, IL 60601;Burj Khalifa 1, Dubai, UAE;2739;2
80029;6769;645;644;Sydney Opera House, Sydney, Australia 2000;Burj Khalifa 1, Dubai, UAE;3025;2
72505;8703;3415;565;789 Pine Road, Chicago, IL 60601;Burj Khalifa 1, Dubai, UAE;2685;2
99034;4507;1307;137;Forbidden City 4, Beijing, China 100006;789 Pine Road, Chicago, IL 60601;2372;3
18049;4507;699;813;321 Elm Boulevard, Houston, TX 77001;753 Willow Avenue, San Diego, CA 92101;3888;2
88261;3893;7314;706;Taj Mahal, Agra, India 282001;Shibuya Crossing 2, Tokyo, Japan 150-0043;4485;4
3189;3476;6325;461;Taj Mahal, Agra, India 282001;789 Pine Road, Chicago, IL 60601;1677;5
12950;1865;1785;80;Table Mountain Rd, Cape Town, South Africa 8001;Brandenburger Tor 1, Berlin, Germany 10117;1082;2
56076;3498;5161;461;864 Palm Drive, San Jose, CA 95101;555 Mountain Street, Washington, DC 20001;3328;3
73187;6246;6406;964;159 Birch Street, San Antonio, TX 78201;CN Tower 301, Toronto, Canada M5V 2T6;2889;2
17556;3014;7259;109;321 Elm Boulevard, Houston, TX 77001;Brandenburger Tor 1, Berlin, Germany 10117;3438;3
79675;1654;132;953;Red Square 1, Moscow, Russia 109012;Champs-Élysées 75, Paris, France 75008;4265;5
41055;5789;4079;483;Burj Khalifa 1, Dubai, UAE;Brandenburger Tor 1, Berlin, Germany 10117;1045;5
8469;4063;4352;70;333 River Road, Seattle, WA 98101;Red Square 1, Moscow, Russia 109012;1710;3
67043;1638;1996;102;Sagrada Família 401, Barcelona, Spain 08013;321 Elm Boulevard, Houston, TX 77001;2426;5
65318;6802;6002;41;987 Cedar Lane, Philadelphia, PA 19101;Sydney Opera House, Sydney, Australia 2000;1782;4
6249;6261;4466;103;Red Square 1, Moscow, Russia 109012;123 Main Street, New York, NY 10001;1453;2
67849;8889;895;657;987 Cedar Lane, Philadelphia, PA 19101;123 Main Street, New York, NY 10001;4288;2
73833;4583;910;405;Sagrada Família 401, Barcelona, Spain 08013;123 Main Street, New York, NY 10001;1754;2
54147;442;7599;976;Shibuya Crossing 2, Tokyo, Japan 150-0043;Table Mountain Rd, Cape Town, South Africa 8001;4335;3
15527;4102;8900;460;Red Square 1, Moscow, Russia 109012;159 Birch Street, San Antonio, TX 78201;4987;5
64081;7308;2043;540;Champs-Élysées 75, Paris, France 75008;456 Oak Avenue, Los Angeles, CA 90001;1091;3
28557;4677;5261;113;Table Mountain Rd, Cape Town, South Africa 8001;Champs-Élysées 75, Paris, France 75008;2565;5
99246;6372;33;308;Marina Bay Sands 10, Singapore 018956;222 Park Avenue, Boston, MA 02101;2232;5
33578;5763;3098;531;CN Tower 301, Toronto, Canada M5V 2T6;864 Palm Drive, San Jose, CA 95101;2071;2
92351;6645;9708;321;456 Oak Avenue, Los Angeles, CA 90001;Brandenburger Tor 1, Berlin, Germany 10117;3668;5
74067;2143;4849;777;Sagrada Família 401, Barcelona, Spain 08013;Shibuya Crossing 2, Tokyo, Japan 150-0043;4381;2
97525;7652;2618;633;Burj Khalifa 1, Dubai, UAE;Brandenburger Tor 1, Berlin, Germany 10117;1375;5
78871;2923;1876;93;Shibuya Crossing 2, Tokyo, Japan 150-0043;Shibuya Crossing 2, Tokyo, Japan 150-0043;1772;2
84535;3464;852;284;159 Birch Street, San Antonio, TX 78201;Gyeongbokgung Palace 161, Seoul, South Korea 03045;2674;4
1379;1185;3457;831;654 Maple Drive, Phoenix, AZ 85001;444 Lake View, Denver, CO 80201;1313;4
63633;2154;9140;695;Champs-Élysées 75, Paris, France 75008;Marina Bay Sands 10, Singapore 018956;3510;2
81101;4086;2260;646;753 Willow Avenue, San Diego, CA 92101;222 Park Avenue, Boston, MA 02101;4706;5
92671;123;3506;582;456 Oak Avenue, Los Angeles, CA 90001;159 Birch Street, San Antonio, TX 78201;3634;2
6510;2748;8527;582;Sydney Opera House, Sydney, Australia 2000;159 Birch Street, San Antonio, TX 78201;3494;2
24760;6520;8108;480;666 Ocean Avenue, Miami, FL 33101;222 Park Avenue, Boston, MA 02101;1454;5
84506;4192;3392;449;Sagrada Família 401, Barcelona, Spain 08013;753 Willow Avenue, San Diego, CA 92101;1781;2
83488;1034;2255;517;333 River Road, Seattle, WA 98101;Brandenburger Tor 1, Berlin, Germany 10117;1821;3
57621;9641;6982;409;Table Mountain Rd, Cape Town, South Africa 8001;159 Birch Street, San Antonio, TX 78201;2164;5
29855;1601;706;996;321 Elm Boulevard, Houston, TX 77001;654 Maple Drive, Phoenix, AZ 85001;3499;4
88790;8361;4027;236;Brandenburger Tor 1, Berlin, Germany 10117;666 Ocean Avenue, Miami, FL 33101;3390;4
86550;8752;3327;680;555 Mountain Street, Washington, DC 20001;123 Main Street, New York, NY 10001;1583;4
4574;5896;4187;196;123 Main Street, New York, NY 10001;123 Main Street, New York, NY 10001;3222;5
74458;6294;1346;70;Piazza San Marco 1, Venice, Italy 30124;Sagrada Família 401, Barcelona, Spain 08013;2679;2
64989;5803;2709;222;123 Main Street, New York, NY 10001;Taj Mahal, Agra, India 282001;1877;3
76474;5881;9211;53;Brandenburger Tor 1, Berlin, Germany 10117;Gyeongbokgung Palace 161, Seoul, South Korea 03045;3855;5
31582;3059;2409;986;864 Palm Drive, San Jose, CA 95101;Sagrada Família 401, Barcelona, Spain 08013;4311;4
18601;3061;6132;110;Gyeongbokgung Palace 161, Seoul, South Korea 03045;Piazza San Marco 1, Venice, Italy 30124;1328;5
35116;2480;5637;715;Champs-Élysées 75, Paris, France 75008;Sagrada Família 401, Barcelona, Spain 08013;1961;5
80959;1164;6754;76;Shibuya Crossing 2, Tokyo, Japan 150-0043;Sagrada Família 401, Barcelona, Spain 08013;1209;2
53233;2944;6520;330;Brandenburger Tor 1, Berlin, Germany 10117;Brandenburger Tor 1, Berlin, Germany 10117;2359;5
10676;3483;1923;448;666 Ocean Avenue, Miami, FL 33101;Forbidden City 4, Beijing, China 100006;4194;2
11221;5733;4572;597;987 Cedar Lane, Philadelphia, PA 19101;Sydney Opera House, Sydney, Australia 2000;1152;3
24740;4708;3478;300;Champs-Élysées 75, Paris, France 75008;Forbidden City 4, Beijing, China 100006;1452;2
13993;2839;9454;939;Red Square 1, Moscow, Russia 109012;246 Spruce Road, Dallas, TX 75201;1405;3
80367;995;4278;987;Taj Mahal, Agra, India 282001;Sydney Opera House, Sydney, Australia 2000;2076;2
95930;9087;4076;110;Piazza San Marco 1, Venice, Italy 30124;Copacabana Beach 100, Rio de Janeiro, Brazil 22070-011;4076;2
73380;7144;5605;319;789 Pine Road, Chicago, IL 60601;456 Oak Avenue, Los Angeles, CA 90001;3810;3
34864;582;5476;236;Red Square 1, Moscow, Russia 109012;333 River Road, Seattle, WA 98101;3509;3
72911;1777;3960;160;Copacabana Beach 100, Rio de Janeiro, Brazil 22070-011;CN Tower 301, Toronto, Canada M5V 2T6;2152;5
82676;8421;2498;754;123 Main Street, New York, NY 10001;123 Main Street, New York, NY 10001;1568;3
28286;2927;1311;789;789 Pine Road, Chicago, IL 60601;Shibuya Crossing 2, Tokyo, Japan 150-0043;4608;3
21014;6822;7554;50;123 Main Street, New York, NY 10001;Forbidden City 4, Beijing, China 100006;4930;3
69097;6265;6608;784;753 Willow Avenue, San Diego, CA 92101;753 Willow Avenue, San Diego, CA 92101;3346;5
52776;9103;5967;619;123 Main Street, New York, NY 10001;Sydney Opera House, Sydney, Australia 2000;4166;5
10325;3188;6272;268;Forbidden City 4, Beijing, China 100006;654 Maple Drive, Phoenix, AZ 85001;3630;3
45189;2199;3275;16;222 Park Avenue, Boston, MA 02101;444 Lake View, Denver, CO 80201;1661;5
68046;3206;2644;47;Table Mountain Rd, Cape Town, South Africa 8001;159 Birch Street, San Antonio, TX 78201;1989;2
79464;706;8102;634;123 Main Street, New York, NY 10001;159 Birch Street, San Antonio, TX 78201;1491;3
7808;6919;8837;481;456 Oak Avenue, Los Angeles, CA 90001;555 Mountain Street, Washington, DC 20001;3112;5
25460;449;7779;505;555 Mountain Street, Washington, DC 20001;222 Park Avenue, Boston, MA 02101;2536;3
61147;4924;6397;258;222 Park Avenue, Boston, MA 02101;Forbidden City 4, Beijing, China 100006;3667;4
64519;8110;6326;944;Marina Bay Sands 10, Singapore 018956;333 River Road, Seattle, WA 98101;4276;2
16347;4653;6961;30;Red Square 1, Moscow, Russia 109012;753 Willow Avenue, San Diego, CA 92101;1749;4
41613;1608;166;134;Piazza San Marco 1, Venice, Italy 30124;222 Park Avenue, Boston, MA 02101;3537;4
71087;3714;1793;564;Shibuya Crossing 2, Tokyo, Japan 150-0043;Sagrada Família 401, Barcelona, Spain 08013;2440;3
5195;3430;8419;866;159 Birch Street, San Antonio, TX 78201;333 River Road, Seattle, WA 98101;2308;2
10801;9003;6219;425;Marina Bay Sands 10, Singapore 018956;Sydney Opera House, Sydney, Australia 2000;3415;3
14521;9961;5557;226;246 Spruce Road, Dallas, TX 75201;333 River Road, Seattle, WA 98101;3028;2
72849;6324;4109;106;222 Park Avenue, Boston, MA 02101;Marina Bay Sands 10, Singapore 018956;1328;2
36986;2458;9019;480;Champs-Élysées 75, Paris, France 75008;Sydney Opera House, Sydney, Australia 2000;3162;4
3372;3451;4849;413;654 Maple Drive, Phoenix, AZ 85001;Brandenburger Tor 1, Berlin, Germany 10117;4751;5
92124;7989;2878;115;666 Ocean Avenue, Miami, FL 33101;Sagrada Família 401, Barcelona, Spain 08013;3948;3
24200;3453;1876;764;Taj Mahal, Agra, India 282001;555 Mountain Street, Washington, DC 20001;1012;5
82127;6066;1553;662;Sagrada Família 401, Barcelona, Spain 08013;456 Oak Avenue, Los Angeles, CA 90001;2948;2
38088;6824;8003;727;666 Ocean Avenue, Miami, FL 33101;Gyeongbokgung Palace 161, Seoul, South Korea 03045;1030;5
36872;2222;9271;173;Piazza San Marco 1, Venice, Italy 30124;Champs-Élysées 75, Paris, France 75008;1551;3
92713;7193;4360;620;Taj Mahal, Agra, India 282001;555 Mountain Street, Washington, DC 20001;3518;2
17589;4106;5723;901;Marina Bay Sands 10, Singapore 018956;321 Elm Boulevard, Houston, TX 77001;3038;5
18449;1410;7640;20;Marina Bay Sands 10, Singapore 018956;444 Lake View, Denver, CO 80201;3729;3
81951;928;8651;226;159 Birch Street, San Antonio, TX 78201;Sydney Opera House, Sydney, Australia 2000;1694;4
50418;4790;3955;937;987 Cedar Lane, Philadelphia, PA 19101;456 Oak Avenue, Los Angeles, CA 90001;1648;3
5759;392;5733;102;Burj Khalifa 1, Dubai, UAE;Sydney Opera House, Sydney, Australia 2000;4096;2
69573;8511;6130;908;246 Spruce Road, Dallas, TX 75201;666 Ocean Avenue, Miami, FL 33101;1642;4
6343;7628;9896;346;555 Mountain Street, Washington, DC 20001;Champs-Élysées 75, Paris, France 75008;1551;2
